en,de,es,fr,gr,it,nl,pl,pt,ru,in
Toggle iDesk         ,iDesk umschalten         ,Cambiar el iDesk         ,Basculer l'iDesk         ,Εναλλαγή iDesk         ,Attivare e disattivare l'iDesk         ,Schakel iDesk         ,Przełączanie iDesk         ,Toggle iDesk         ,Toggle iDesk         ,Tombol on/off iDesk
Toggle icons         ,Symbole umschalten         ,Iconos de conmutación         ,Icônes de basculement         ,Εναλλαγή εικονιδίων       ,Icone a levetta         ,Schakelen tussen pictogrammen         ,Ikony do przełączania         ,Alternar ícones         ,переключающиеся иконки         ,Tombol on/off ikon
Toggle autohide dock ,Autohide-Dock umschalten ,Cambiar el muelle de auto-ocultación ,Basculer le quai autohide ,Εναλλαγή autohide dock ,Attivare il dock autohide ,Schakelaar voor autodokker ,Przełączyć autohide dok ,Alternar a doca de autoculto ,Тоггл-автохидный док ,Tombol on/off Sembunyi otomatis Dock
Toggle autohide toolbar,Umschalten der Autohide-Werkzeugleiste,Cambiar la barra de herramientas de auto-ocultación,Barre d'outils de masquage automatique,Εναλλαγή autohide toolbar,Attivare e disattivare la barra degli strumenti autohide,Schakel de autohide-werkbalk in,"Przełączany, automatyczny pasek narzędzi",Alternar a barra de ferramentas de autoculto,Переключить автоматическую панель инструментов,Tombol on/off Sembunyi Otomatis Bilah Alat
Toggle monitors      ,Monitore umschalten      ,Cambiar los monitores...      ,Basculer les moniteurs      ,Εναλλαγή monitors      ,Monitor a levetta      ,Schakelen tussen de monitoren      ,Monitory przełączające      ,Monitores Toggle      ,Тумблерные мониторы      ,Tombol on/off Monitor
Disable default dock ,Standard-Dock deaktivieren ,Deshabilitar el acoplamiento por defecto ,Désactiver le dock par défaut ,Απενεργοποίηση προεπιλεγμένο dock ,Disattivare il dock di default ,Standaard dok uitschakelen ,Wyłączenie domyślnego doku ,Desactivar a doca por defeito ,Отключить стандартную док-станцию ,Matikan Setelan Bawaan Dock
Leave,Verlassen Sie,Deje,Quitter,Εξοδος,Lascia,Verlaat,Wyjdź,Sair,Оставить,Tinggalkan
Refresh,Aktualisieren Sie,Actualizar,Rafraîchir,Ανανέωση,Aggiorna,Vernieuwen,Odświeżyć,Actualização,Обновить,Segarkan
Suspend,aussetzen,Suspender,Suspendre,Αναστολή,Sospendi,Schorsen,Zawiesić,Suspendam,Приостановить,Menangguhkan
Logout,Abmeldung,Cierre de sesión,Déconnexion,Αποσύνδεση,Logout,Uitloggen,Logout,Sair,Выход из системы,Keluar
Reboot,Neustart,Reiniciar,Redémarrer,Επανεκκινήση,Riavvio,Herstart,Reboot,Reinicialização,Перезагрузить,Mulai Ulang/Restart
Shutdown,Herunterfahren,Apagado,Fermeture,Τερματισμός,Spegnimento,Uitschakeling,Zamknięcie,Encerramento,Отключение,Matikan
